,nobs,mean,skew,kurtosis,median,mode,std,low,peak,q25,q75,iqr,user_name,sample_date,age_range,pronunciation,gender
26,449,126.414253898,1.01739110017,1.54963699466,114.0,112.0,66.622477075,12.0,294.0,110.0,130.0,20.0,Akhansson,20120423,Youth,European,Male
28,301,100.104097453,1.40924673795,9.40807775953,108.0,108.0,38.5763573076,18.0,278.0,94.0,110.0,16.0,AlexW,20110510,Adult,American,Male
29,185,202.713513514,0.0180282726285,-1.49503103696,200.0,134.0,51.6278688734,126.0,290.0,156.0,248.0,92.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
30,236,204.601694915,0.207479499065,-1.54117197019,188.0,256.0,57.0927939041,128.0,296.0,148.0,256.0,108.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
31,239,203.020920502,-0.0397220213032,-1.57507280445,188.0,260.0,48.9815478619,122.0,268.0,162.0,258.0,96.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
32,258,245.689922481,-0.874839977702,-0.28474107873,260.0,286.0,43.6781389361,138.0,298.0,217.5,286.0,68.5,AlexanderHenningDrachmann,20140108,Adult,European,Male
33,267,197.265917603,0.567441258634,-1.00418694248,186.0,186.0,55.8330885964,120.0,298.0,155.0,244.0,89.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
34,317,238.958990536,-0.972687901942,0.67513541299,256.0,258.0,41.4550977819,124.0,296.0,216.0,260.0,44.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
35,209,202.899521531,0.169864720493,-1.44886192662,188.0,164.0,40.6685099693,138.0,270.0,166.0,252.0,86.0,AlexanderHenningDrachmann,20140108,Adult,European,Male
36,784,135.005598506,0.748462526446,0.0838871344466,128.0,90.0,72.4167440293,13.0558955528,298.0,90.0,166.0,76.0,AlfredStrauss,20110812,Adult,European,Male
37,1725,185.977971014,-0.89675346359,0.503112993135,196.0,90.0,59.0466244806,12.0,294.0,178.0,220.0,42.0,Alpsa,20100604,Youth,Other,Male
38,406,238.126436782,-0.320764149965,-0.289535660577,242.0,242.0,31.7048926061,172.0,294.0,223.0,250.0,27.0,AmolS,20140213,Adult,Indian,Male
39,56,237.428571429,0.663372873522,-1.08205516474,232.0,220.0,18.9462181892,220.0,270.0,220.0,252.0,32.0,Andrew,20120826,Adult,European,Male
41,167,155.748502994,1.16167359566,-0.173147946841,126.0,126.0,63.6416538326,98.0,294.0,110.0,212.0,102.0,AndreyBarrientosCostaRica,20130710,Adult,Other,Male
42,74,132.891891892,1.72388541627,1.8184221981,115.0,110.0,40.9616061392,98.0,238.0,110.0,138.0,28.0,AndreyBarrientosCostaRica,20130710,Adult,Other,Male
43,97,147.525773196,1.19597705242,0.0520808424137,120.0,120.0,60.6322517667,92.0,274.0,100.0,190.0,90.0,AndreyBarrientosCostaRica,20130720,Youth,Other,Male
44,465,95.9039426523,-2.19554347246,4.73669785298,100.0,90.0,26.7232973276,12.0,134.0,90.0,110.0,20.0,Andy212380,20141016,Adult,European,Male
45,482,96.2489626556,-1.59590732782,3.0110268458,98.0,120.0,26.4105051273,14.0,150.0,84.0,120.0,36.0,Angus,20080320,Adult,British,Male
46,481,95.6715176715,-1.34482761757,3.14693867526,94.0,120.0,23.0382534544,14.0,130.0,84.0,120.0,36.0,Angus,20080320,Adult,British,Male
47,565,103.253097345,1.91033392637,10.5932107986,102.0,120.0,20.217262714,72.0,228.0,86.0,120.0,34.0,Angus,20080320,Adult,British,Male
48,529,94.0289855072,-1.26559375779,2.62046949091,92.0,120.0,23.8481860911,12.0,150.0,84.0,120.0,36.0,Angus,20080320,Adult,British,Male
49,425,124.032941176,0.119876481406,-1.70591114893,144.0,24.0,100.600133642,10.6666666667,286.0,24.0,214.0,190.0,AnnaKarpelevich,20091129,Youth,Other,Female
50,144,222.958333333,-0.727577940928,-1.34917536624,264.0,126.0,66.616634872,124.0,296.0,126.0,266.0,140.0,Anniepoo,20140308,Adult,American,Female
51,82,235.12195122,-1.10635667361,-0.1599917946,264.0,120.0,57.0050041115,120.0,296.0,204.5,272.0,67.5,Anniepoo,20140308,Adult,American,Female
52,76,252.947368421,-0.916063304095,0.636181609664,262.0,298.0,44.1879641677,94.0,298.0,230.0,298.0,68.0,Anniepoo,20140308,Adult,American,Female
53,51,222.392156863,-0.342618949366,-1.26517602949,262.0,172.0,62.969671639,90.0,298.0,172.0,268.0,96.0,Anniepoo,20140308,Adult,American,Female
54,38,241.736842105,-0.696589059009,-1.37630035839,266.0,178.0,42.1530321133,178.0,282.0,185.0,274.0,89.0,Anniepoo,20140308,Adult,American,Female
55,50,267.84,-2.32805873813,6.14131403824,268.0,260.0,31.4498712239,158.0,298.0,260.0,296.0,36.0,Anniepoo,20140308,Adult,American,Female
56,49,251.795918367,-1.65099464249,1.62466561559,262.0,262.0,29.6627159585,172.0,278.0,260.0,270.0,10.0,Anniepoo,20140308,Adult,American,Female
57,65,261.476923077,-2.05751149539,4.97791351527,266.0,268.0,27.8286557857,162.0,292.0,258.0,276.0,18.0,Anniepoo,20140308,Adult,American,Female
58,96,150.314742017,-1.23847947206,2.22788488999,154.0,158.0,31.0684749416,66.0,208.333333333,146.0,166.0,20.0,Apple,20091026,Adult,American,Male
59,705,252.539007092,0.1329556426,-0.12147916923,248.0,234.0,24.2982408173,178.0,298.0,234.0,274.0,40.0,Ara,20091020,Adult,American,Male
60,868,247.790322581,0.13231850091,0.446079091995,248.0,234.0,20.73215847,190.0,298.0,234.0,256.0,22.0,Ara,20091021,Adult,American,Male
61,490,201.43537415,0.406606564264,-0.815137244753,182.0,182.0,33.2136834956,150.0,274.0,182.0,226.0,44.0,Artem,20121123,Adult,European,Male
62,279,136.031063321,0.327454826779,-1.20658701977,120.0,46.0,78.5364371119,10.6666666667,286.0,86.0,214.0,128.0,AslakKnutsen,20140314,Adult,European,Male
63,222,136.672672673,0.0176610439208,-1.0048804413,120.0,46.0,60.8365107892,24.0,228.0,94.0,208.0,114.0,AslakKnutsen,20140314,Adult,European,Male
64,217,152.316436252,-0.596732743978,-1.35670297435,198.0,46.0,72.8955247117,10.6666666667,224.0,46.0,212.0,166.0,AslakKnutsen,20140314,Adult,European,Male
65,226,134.200589971,0.123815667677,-1.47378254813,120.0,46.0,81.9569825028,14.0,292.0,46.0,212.0,166.0,AslakKnutsen,20140314,Adult,European,Male
66,174,138.007662835,-0.127645362315,-1.86077232929,204.0,46.0,78.2188366291,44.0,224.0,46.0,212.0,166.0,AslakKnutsen,20140314,Adult,European,Male
67,157,138.870488323,0.26600794063,-0.995554960334,138.0,44.0,78.4440573531,10.6666666667,294.0,76.0,206.0,130.0,AslakKnutsen,20140314,Adult,European,Male
68,255,116.334640523,0.48613919138,-1.22564038446,92.0,46.0,81.5957808835,12.0,278.0,46.0,206.0,160.0,AslakKnutsen,20140314,Adult,European,Male
69,203,127.172413793,0.292397714004,-1.43536901614,106.0,46.0,73.4477562676,40.0,266.0,46.0,206.0,160.0,AslakKnutsen,20140314,Adult,European,Male
70,243,140.200274348,0.0577734437662,-1.14604136283,122.0,210.0,70.5586962777,18.0,268.0,92.0,210.0,118.0,AslakKnutsen,20140315,Adult,European,Male
71,317,98.9001051525,0.393926688325,0.128164699959,98.0,46.0,47.8996809558,12.0,212.0,46.0,122.0,76.0,AslakKnutsen,20140317,Adult,European,Male
72,297,101.591470258,0.544972424165,0.583187086701,94.0,94.0,51.0276653231,12.0,226.0,88.0,118.0,30.0,AslakKnutsen,20140317,Adult,European,Male
81,167,167.54491018,-0.37914736813,-0.607649772997,152.0,152.0,68.3897518837,12.0,266.0,114.0,220.0,106.0,Bahoke,20130721,Adult,American,Male
82,188,153.340425532,0.126239194378,-0.690262521306,130.0,108.0,55.5949548437,14.0,244.0,108.0,208.0,100.0,Bahoke,20130721,Adult,American,Male
83,179,137.474860335,0.349496673261,-0.00997766879086,122.0,118.0,65.064241433,12.0,294.0,108.0,186.0,78.0,Bahoke,20130721,Adult,American,Male
84,147,122.993197279,0.0812482704531,-0.853648829435,112.0,112.0,71.5364420331,12.0,248.0,92.0,196.0,104.0,Bahoke,20130721,Adult,American,Male
85,113,162.814159292,-0.493838296355,-0.846223042686,152.0,224.0,71.8048669281,12.0,256.0,108.0,224.0,116.0,Bahoke,20130721,Adult,American,Male
86,145,142.882758621,0.413332199606,-0.269163033142,126.0,132.0,71.1388640519,12.0,298.0,100.0,204.0,104.0,Bahoke,20130721,Adult,American,Male
87,111,130.432432432,-0.062462348767,-0.339116238429,120.0,138.0,63.6156280903,12.0,242.0,106.0,152.0,46.0,Bahoke,20130721,Adult,American,Male
88,128,158.171875,-0.0445283876216,-0.318712329732,144.0,144.0,60.8486993204,18.0,254.0,121.0,228.0,107.0,Bahoke,20130721,Adult,American,Male
89,78,118.128205128,-0.0688380146729,-0.831368952379,124.0,118.0,71.2686069225,12.0,240.0,40.5,152.0,111.5,Bahoke,20130721,Adult,American,Male
90,119,162.840336134,-0.363663079902,-1.15195352751,196.0,212.0,77.4190803565,18.0,262.0,100.0,236.0,136.0,Bahoke,20130721,Adult,American,Male
91,138,142.550724638,0.127823778918,-0.656675155673,124.0,100.0,64.6299468954,14.0,254.0,100.0,220.0,120.0,Bahoke,20130721,Adult,American,Male
92,241,119.831258645,0.232616403295,-1.81609159823,46.0,12.0,104.085271636,12.0,270.0,24.0,240.0,216.0,Bareford,20101110,Adult,American,Male
93,221,143.511312217,-0.655185628845,-0.927100773207,168.0,12.0,81.6185594001,12.0,268.0,32.0,198.0,166.0,Bassel,20120209,Youth,Other,Male
94,694,114.465898175,1.98383273876,2.24798815831,90.0,90.0,55.4217206587,88.0,286.0,90.0,90.0,0.0,Berrym,20101102,Adult,American,Male
95,727,185.071985328,-0.390066294605,-0.956628247885,192.0,150.0,71.8170926927,18.0,288.0,126.0,256.0,130.0,BhushanNKIITBombay,20140219,Youth,Indian,Male
96,241,125.868352821,0.981052631206,0.645163220763,106.0,106.0,70.1615791555,10.1346001584,290.0,98.0,120.0,22.0,BigMick,20090919,Adult,European,Male
97,364,160.703296703,1.58663091012,0.894787406617,134.0,132.0,56.310851238,114.0,296.0,128.0,172.0,44.0,BillMorgan,20120306,Senior,American,Male
98,177,153.687382298,0.869439505294,-0.357629841336,152.0,120.0,43.5706979836,92.0,246.0,120.0,166.0,46.0,Bitbrit,20090528,Adult,British,Male
99,149,164.912751678,0.224675321556,-1.59539723791,142.0,120.0,44.0863060402,93.3333333333,232.0,120.0,218.0,98.0,Bitbrit,20090528,Adult,British,Male
101,177,167.988700565,-0.300397902243,-1.42030028023,186.0,188.0,36.883997219,116.0,222.0,124.0,188.0,64.0,Blenderkitty,20090615,Adult,American,Male
102,186,159.301075269,0.187360015764,-1.69130224618,155.0,118.0,40.6152376052,114.0,220.0,120.0,190.0,70.0,Blenderkitty,20090615,Adult,American,Male
103,104,155.038461538,0.34819948301,-1.56214315683,133.0,122.0,38.3485841372,112.0,218.0,121.5,188.0,66.5,Blenderkitty,20090615,Adult,American,Male
104,116,135.5,1.19338852773,-0.547555959271,120.0,120.0,29.1605248049,114.0,188.0,120.0,122.0,2.0,Blenderkitty,20090615,Adult,American,Male
105,173,152.612716763,0.402142001668,-1.55376381989,124.0,118.0,38.4433410895,114.0,222.0,118.0,190.0,72.0,Blenderkitty,20090615,Adult,American,Male
106,373,80.9955317248,0.374146467175,1.15247053183,92.0,92.0,41.6870796574,12.0,210.0,42.0,98.0,56.0,BlindPilot,20100610,Adult,American,Male
107,327,91.3516819572,1.0489810561,3.55479040908,98.0,92.0,48.1630308748,12.0,254.0,88.0,108.0,20.0,BlindPilot,20100610,Adult,American,Male
108,442,77.9200603318,-0.741372155947,-0.221850826956,94.0,94.0,37.6840166771,12.0,186.0,36.0,100.0,64.0,BlindPilot,20100610,Adult,American,Male
109,307,74.0456026059,1.00028895396,0.740510276697,90.0,12.0,58.7042319214,12.0,240.0,20.0,100.0,80.0,BlindPilot,20100610,Adult,American,Male
110,308,66.7575757576,0.934458672896,0.514609854226,84.0,12.0,54.0326216565,12.0,216.0,16.0,98.0,82.0,BlindPilot,20100610,Adult,American,Male
111,23,250.347826087,-0.543979924298,-1.09124664874,264.0,278.0,26.101155556,208.0,278.0,242.0,278.0,36.0,BlueAgent,20120819,Youth,Australian,Male
112,23,236.0,-3.50849594302,13.1928163407,242.0,234.0,50.1926722523,16.0,284.0,234.0,242.0,8.0,BlueAgent,20120819,Youth,Australian,Male
113,132,130.409090909,-0.0141680659966,-0.116833390266,130.0,130.0,7.03126626108,114.0,146.0,126.0,134.0,8.0,BlueB,20090727,Adult,American,Male
114,153,133.03056966,-0.217758023087,-0.569873937323,134.0,138.0,6.88414788915,118.0,146.0,128.0,138.0,10.0,BlueB,20090727,Adult,American,Male
115,96,204.125,-0.575458888022,-1.05470506281,238.0,238.0,68.3896998214,84.0,298.0,120.0,243.5,123.5,Bob,20100106,Adult,American,Male
120,305,123.908196721,0.367502712903,-0.502301380141,112.0,110.0,71.4778294071,12.0,266.0,100.0,156.0,56.0,Bossalicious,20151224,Youth,American,Male
121,217,110.226438556,-0.80250791229,-0.310590202167,122.0,126.0,50.4768279635,11.7647058824,198.0,104.0,148.0,44.0,Bradders,20080630,Youth,British,Male
122,319,119.002956696,-1.47885011454,2.11576058717,128.0,134.0,36.5983819756,12.0,180.0,109.0,140.0,31.0,Bradders,20080630,Youth,British,Male
123,217,116.151406321,-1.16547492038,0.971711231432,124.0,134.0,41.6149946069,12.0,178.0,106.0,136.0,30.0,Bradders,20080630,Youth,British,Male
124,162,113.347215599,-0.899564141848,2.64945377496,114.0,114.0,27.7670053973,16.6666666667,174.0,106.0,126.0,20.0,Bradders,20080701,Youth,British,Male
126,396,126.322281704,1.77794259968,7.03646731342,122.0,130.0,36.0575534796,12.0,268.0,110.0,130.0,20.0,Brittishenglishscottish20yomale,20091005,Adult,British,Male
127,683,121.118594436,10.484069122,108.202179583,120.0,120.0,11.3963207087,120.0,242.0,120.0,120.0,0.0,Brozkeff,20111229,Youth,European,Male
128,435,110.657471264,0.519434614494,-0.573270927746,102.0,14.0,78.7773227656,12.0,294.0,16.0,130.0,114.0,BruceCouper,20080305,Adult,Other,Male
129,569,126.224956063,0.122502419942,-0.920881185997,114.0,12.0,75.2042702208,12.0,278.0,92.0,202.0,110.0,BruceCouper,20080305,Adult,Other,Male
130,553,114.067510549,0.32444412289,-0.781573598985,106.0,12.0,73.1289734536,12.0,260.0,86.0,170.0,84.0,BruceCouper,20080305,Adult,American,Male
131,1226,121.013050571,-0.202767802433,5.65848321865,122.0,120.0,14.6963468311,66.6666666667,232.0,118.0,126.0,8.0,BrunoChagas,20140807,Adult,Other,Male
132,328,169.652439024,0.829409332629,-0.712030686222,136.0,136.0,59.5014956271,102.0,292.0,122.0,216.0,94.0,Buddyboy,20110710,Senior,British,Male
137,286,71.7482517483,1.0972850752,-0.290732324445,26.0,24.0,77.747436585,12.0,276.0,20.0,154.0,134.0,Caatbells,20111019,Adult,British,Female
138,298,164.819952827,-0.509899432869,-0.905868377735,174.0,270.0,89.8206493585,10.3459424507,296.0,136.0,232.0,96.0,Campbell,20091230,Youth,Other,Male
139,365,154.453202765,-0.0354405038375,-0.0314125415213,148.0,148.0,73.7518005487,12.0,292.0,126.0,188.0,62.0,Campbell,20091230,Youth,Other,Male
140,165,190.363636364,-0.0257905960063,-0.103392890985,174.0,286.0,61.1570349192,38.0,288.0,154.0,244.0,90.0,Campbell,20100103,Youth,Other,Male
141,125,166.518721623,-0.360413059605,0.213393692769,158.0,146.0,71.5821199983,11.0306790762,296.0,146.0,196.0,50.0,Campbell,20100103,Youth,Other,Male
142,206,162.698566805,-0.0965857027224,0.695988555891,158.0,154.0,64.8289779016,11.9047619048,284.0,136.0,174.0,38.0,Campbell,20100104,Youth,Other,Male
143,144,153.625,-1.3618893048,1.61557758129,164.0,164.0,53.7824675842,16.0,250.0,150.0,178.0,28.0,Campbell,20100414,Youth,Other,Male
144,57,249.050297679,-1.47767320454,0.305860981327,288.0,288.0,72.0638404315,96.0,296.0,256.0,292.0,36.0,CaptainSpok,20090509,Adult,American,Male
145,214,126.857671835,0.481753505823,-0.50560061762,122.0,122.0,79.9521878941,11.2491211624,294.0,68.0394036209,128.0,59.9605963791,CarlFK,20080617,Adult,American,Male
146,320,89.2428934219,0.795733569805,0.102077446638,110.0,12.0,78.5092059171,11.1265646732,296.0,12.0,132.0,120.0,CarlFK,20080617,Adult,American,Male
147,332,48.3393574297,2.29912349513,4.21064010337,18.0,16.0,72.1176988016,10.6666666667,292.0,14.0,26.0,12.0,Catbbells,20110928,Adult,British,Female
148,354,87.2674199623,1.00246555152,-0.574990825164,37.0,16.0,89.8772933439,12.0,292.0,20.0,164.0,144.0,Catbells,20110421,Adult,British,Female
149,308,103.863636364,-0.248507670444,-1.83686605995,148.0,18.0,69.8519369328,12.0,184.0,24.0,168.0,144.0,Catbells,20110527,Adult,British,Female
150,263,91.6958174905,0.837394015989,-0.521172376152,32.0,12.0,91.6506772288,12.0,296.0,16.0,160.0,144.0,Catbells,20110603,Adult,British,Female
151,290,78.075862069,0.661915383314,-1.08535917669,28.0,16.0,75.4782985718,12.0,288.0,16.0,160.0,144.0,Catbells,20110604,Adult,British,Female
152,453,61.298013245,1.2691736352,-0.0123077718653,24.0,18.0,68.8717778494,12.0,274.0,18.0,78.0,60.0,Catbells,20110728,Adult,British,Female
153,471,61.7777777778,1.14447968815,-0.490369509961,28.0,18.0,66.6017282215,12.0,206.0,16.0,92.0,76.0,Catbells,20110730,Adult,British,Female
154,376,75.7074468085,0.804332288547,-0.979925720391,29.0,22.0,74.9513206331,10.6666666667,294.0,20.0,168.0,148.0,Catbells,20110802,Adult,British,Female
156,372,81.7365591398,0.619481772061,-0.895404578766,34.0,18.0,75.6258863415,12.0,296.0,18.0,154.0,136.0,Catbells,20110803,Adult,British,Female
157,271,26.184501845,3.79537507659,13.0672991864,18.0,14.0,33.0230141659,12.0,176.0,14.0,22.0,8.0,Catbells,20110825,Adult,British,Female
159,373,51.8927613941,1.38296986585,-0.011883529626,18.0,14.0,63.3611654994,12.0,188.0,14.0,30.0,16.0,Catbells,20111008,Adult,British,Female
160,178,106.842696629,-0.496727286167,-0.540652811001,90.0,90.0,50.2321847448,10.6666666667,194.0,90.0,146.0,56.0,Catbells,20111009,Adult,British,Female
161,252,38.2989417989,3.22160887398,10.8899556693,22.0,14.0,50.3499627276,12.0,298.0,16.0,32.0,16.0,Catbells,20111012,Adult,British,Female
162,332,59.4638554217,1.33104060995,0.496674559283,21.0,14.0,68.6283110612,12.0,294.0,16.0,142.0,126.0,Catbells,20111013,Adult,British,Female
163,328,49.0833333333,1.65617585673,1.01385733363,24.0,26.0,58.2137784727,12.0,208.0,16.0,28.5,12.5,Catbells,20111017,Adult,British,Female
164,353,32.8498583569,2.98624435789,7.34544871106,20.0,14.0,45.0493290374,12.0,202.0,14.0,26.0,12.0,Catbells,20111019,Adult,British,Female
165,419,34.7494033413,3.98693366396,15.9951193939,20.0,12.0,51.6620348122,12.0,298.0,16.0,30.0,14.0,Catbells,20111122,Adult,British,Female
166,80,188.975,-0.678659071029,-1.34781136702,248.0,12.0,112.733310849,12.0,290.0,80.0,280.0,200.0,CbS,20120222,Adult,American,Male
167,65,87.8871794872,0.640435743508,-0.363470659908,92.0,96.0,64.0797120293,10.6666666667,210.0,14.0,96.0,82.0,CbS2,20120222,Adult,American,Male
168,96,163.868055556,-0.869764890981,-0.325333482556,188.0,46.0,72.7790682535,12.0,270.0,120.0,202.0,82.0,Cesy,20110904,Adult,British,Female
169,84,167.261904762,-0.39925844453,-0.202113542928,186.0,120.0,52.2856438112,46.0,254.0,120.0,190.0,70.0,Cesy,20110904,Adult,British,Female
170,20,116.1,0.775455400431,-1.24205429211,96.0,96.0,37.1132051971,78.0,172.0,96.0,172.0,76.0,CezarBocu,20090218,Adult,European,Male
172,629,128.602013778,-0.138294088091,0.96435383075,128.0,124.0,46.5837789459,16.0,274.0,112.0,150.0,38.0,Chas,20100107,Senior,American,Male
173,201,177.631840796,-0.151116415319,-1.405645449,198.0,96.0,60.3782750713,88.0,280.0,116.0,224.0,108.0,CheesyBreed,20080413,Adult,American,Male
174,350,138.405934671,0.920431324139,-0.711574020856,112.0,94.0,53.0294751068,44.0771349862,254.0,98.0,196.0,98.0,CheesyBreed,20080413,Adult,American,Male
175,233,166.231759657,0.108528885205,-1.60482025155,194.0,94.0,62.9683306524,88.0,270.0,100.0,216.0,116.0,CheesyBreed,20080413,Adult,American,Male
176,306,170.02472958,0.180512188995,-1.28134626856,188.0,94.0,60.4923637463,86.0,284.0,108.0,216.0,108.0,CheesyBreed,20080413,Adult,American,Male
177,202,125.346534653,1.36439272418,0.253080312718,102.0,98.0,45.3903718241,88.0,236.0,98.0,128.0,30.0,CheesyBreed,20080413,Adult,American,Male
178,352,185.238636364,0.548709427593,-0.544565876269,184.0,240.0,30.4371537009,138.0,240.0,165.0,192.0,27.0,Chirag,20131005,Adult,Indian,Male
179,461,160.481561822,0.620991240058,-1.1644696299,136.0,120.0,60.3377531398,80.0,294.0,120.0,230.0,110.0,Chris,20101214,Adult,Other,Male
180,513,104.726445744,-1.179370586,0.841665972134,122.0,124.0,38.818458922,14.0,188.0,100.0,126.0,26.0,Chrisdan,20081210,Adult,British,Male
181,480,169.1,1.8006158964,6.43924571533,162.0,162.0,29.6831602091,96.0,298.0,154.0,180.0,26.0,ColinBeckingham,20091029,Senior,British,Male
182,271,193.57195572,0.713110478422,-0.513561834657,180.0,176.0,49.7909410566,114.0,298.0,160.0,202.0,42.0,ColinBeckingham,20091103,Senior,British,Male
183,629,201.310015898,0.918230836509,-0.359732214359,182.0,174.0,44.4692521074,118.0,298.0,172.0,236.0,64.0,ColinBeckingham,20091103,Senior,British,Male
184,264,206.810606061,0.453401783279,-0.985546791638,186.0,160.0,47.6702105976,116.0,292.0,166.0,245.5,79.5,ColinBeckingham,20091103,Senior,British,Male
185,266,194.781954887,0.955033374644,0.569818192591,182.0,212.0,37.7142677267,112.0,286.0,172.0,212.0,40.0,ColinBeckingham,20091104,Senior,British,Male
186,353,203.467422096,1.0695518698,-0.39272580131,184.0,182.0,46.6785728714,148.0,296.0,172.0,222.0,50.0,ColinBeckingham,20091104,Senior,British,Male
187,298,199.456375839,0.814380522836,-0.29429625029,192.0,160.0,41.230239639,146.0,292.0,164.0,230.0,66.0,ColinBeckingham,20091121,Senior,British,Male
188,249,191.558232932,1.18581710944,1.21515002605,182.0,168.0,32.4379794768,138.0,286.0,168.0,216.0,48.0,ColinBeckingham,20091121,Senior,British,Male
189,101,241.762376238,-2.02559018936,4.79642261376,270.0,280.0,61.0406695321,12.0,298.0,216.0,280.0,64.0,ColinBeckingham,20091211,Senior,British,Male
190,114,227.631578947,-1.88062878974,2.88428799001,256.0,276.0,69.4350969394,30.0,284.0,204.0,276.0,72.0,ColinBeckingham,20091211,Senior,British,Male
191,74,222.891891892,-1.37487657312,5.74531581131,224.0,216.0,42.0657681872,16.0,280.0,186.0,256.0,70.0,ColinBeckingham,20091213,Senior,British,Male
192,178,241.460674157,-0.0780598035508,-0.181457102539,239.0,256.0,32.3794414522,164.0,298.0,221.5,260.0,38.5,ColinBeckingham,20091213,Senior,British,Male
193,117,239.247863248,-1.42545404032,4.8139729405,236.0,298.0,47.7484337207,24.0,298.0,208.0,282.0,74.0,ColinBeckingham,20091213,Senior,British,Male
194,63,227.650793651,0.13240135378,-0.946998674996,222.0,182.0,33.5205024824,182.0,292.0,200.0,256.0,56.0,ColinBeckingham,20091213,Senior,British,Male
195,90,232.711111111,0.0972999984953,-1.30653859541,232.0,176.0,41.427109869,176.0,296.0,190.0,262.0,72.0,ColinBeckingham,20091213,Senior,British,Male
196,90,193.437037037,-0.860505984048,-0.92474935789,234.0,20.0,105.646179162,18.0,298.0,76.5,256.0,179.5,ColinBeckingham,20091214,Senior,British,Male
